,Unnamed: 0,Id,Symbol,Name,Image,Current_Price,Market_Cap,Market_Cap_Rank,Fully_Diluted_Valuation,Total_Volume,High_24H,Low_24H,Price_Change_24H,Price_Change_Percentage_24H,Market_Cap_Change_24H,Market_Cap_Change_Percentage_24H,Circulating_Supply,Total_Supply,Max_Supply,Ath,Ath_Change_Percentage,Ath_Date,Atl,Atl_Change_Percentage,Atl_Date,Last_Updated,Market_Cap_Category
0,0,Bitcoin,BTC,Bitcoin,['https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400'],78684.0,1580275635266,1.0,1580276343509.0,28365252951.0,79625.0,78193.0,-735.4156704023917,-0.92599,-14542932589.59497,-0.91189,20081356.0,20081384.0,21000000.0,126080.0,-37.5918,2025-10-06 10:57:42+00:00,67.81,115937.97275,2013-07-05 16:00:00+00:00,2026-09-08T10:40:20.000Z,High
1,1,Ethereum,ETH,Ethereum,['https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628'],2483.81,303153611745,2.0,303153611745.0,10775168497.0,2510.03,2463.89,-6.414983197982565,-0.25761,-720402504.4065552,-0.23707,122029704.52429248,122029704.5242924,1000000000.0,4946.05,-49.78192,2025-08-24 11:21:03+00:00,0.432979,573556.28704,2015-10-19 16:00:00+00:00,2026-09-08T10:40:20.000Z,High
2,2,Tether,USDT,Tether,['https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661'],0.999617,183373606607,3.0,188838616048.0,52339693885.0,0.999963,0.999639,-0.0002931874031134,-0.02932,-20575525.88433838,-0.01122,183438580383.21188,188905526211.2662,1000000000.0,1.32,-24.44864,2018-07-23 16:00:00+00:00,0.572521,74.5991,2015-03-01 16:00:00+00:00,2026-09-08T10:40:20.000Z,High
3,3,Binancecoin,BNB,BNB,['https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970'],756.34,100745427737,4.0,100745423274.0,1101472196.0,760.33,734.68,11.87,1.59483,1610791684.0,1.62485,133161534.56,133161524.46,200000000.0,1369.99,-44.7923,2025-10-13 00:41:24+00:00,0.0398177,1899409.15836,2017-10-18 16:00:00+00:00,2026-09-08T10:40:20.000Z,High
4,4,Ripple,XRP,XRP,['https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442'],1.4,87813905196,5.0,139934619800.0,1895391461.0,1.41,1.38,-0.0010442907467882,-0.07456,-72184385.07315063,-0.08213,62744504852.0,99985627691.0,100000000000.0,3.65,-61.61524,2025-07-17 19:40:53+00:00,0.00268621,52005.2056,2014-05-21 16:00:00+00:00,2026-09-08T10:40:20.000Z,High
5,5,Usd-Coin,USDC,USDC,['https://coin-images.coingecko.com/coins/images/6319/large/USDC.png?1769615602'],0.999818,74279792678,6.0,74295541586.0,12828149718.0,0.999982,0.999715,-9.989898849927e-05,-0.00999,-182993145.64796448,-0.24575,74291134049.27977,74308767608.53168,1000000000.0,1.043,-4.18285,2018-11-14 16:00:00+00:00,0.877647,13.92034,2023-03-11 00:02:13+00:00,2026-09-08T10:40:20.000Z,High
6,6,Solana,SOL,Solana,['https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756'],103.45,60651532573,7.0,65564091401.0,2965124741.0,105.8,102.49,-1.5464949984799716,-1.47293,-892796400.5877151,-1.45066,586165316.7405379,633642585.8047512,1000000000.0,293.31,-64.73097,2025-01-19 03:15:27+00:00,0.500801,20556.55599,2020-05-11 11:35:23+00:00,2026-09-08T10:40:20.000Z,High
7,7,Tron,TRX,TRON,['https://coin-images.coingecko.com/coins/images/1094/large/photo_2026-04-13_09-59-16.png?1776048311'],0.337962,32088934044,8.0,32088943390.0,360845846.0,0.338947,0.333764,0.00122973,0.36519,119745958.0,0.37457,94940834101.76828,94940829281.17767,1000000000.0,0.431288,-21.63891,2024-12-03 16:10:40+00:00,0.00180434,18630.50147,2017-11-11 16:00:00+00:00,2026-09-08T10:40:20.000Z,High
8,8,Figure-Heloc,FIGR_HELOC,Figure Heloc,['https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954'],1.055,23516084575,9.0,23516084575.0,343538.0,0.3448725,0.3210785,0.0,0.0,7.4505e-09,0.0,22290650137.398,22292012681.268,1000000000.0,1.061,-0.52441,2026-08-03 14:19:20+00:00,0.155357,579.06691,2025-10-31 06:27:24+00:00,2026-09-05T22:40:20.000Z,High
9,9,Zcash,ZEC,Zcash,['https://coin-images.coingecko.com/coins/images/486/large/Brandmark-Yellow_%281%29.png?1785810558'],1145.17,19372107276,9.0,19373525928.0,855926585.0,1207.0,1115.46,-63.00560698892605,-5.21495,-1069127138.0445862,-5.23025,16919759.5405448,16921093.9155448,21000000.0,3191.93,-64.12306,2016-10-28 16:00:00+00:00,16.08,7021.62545,2024-07-04 20:22:29+00:00,2026-09-08T10:40:20.000Z,High
